WikiData QID	parent	ML_ID	label	description	wiktionary
		ML_RHETORIC_MODUS-INVENIENDI	modus inveniendi	From [Latin](https://en.wikipedia.org/wiki/Latin). Material used to understand the scriptures. ([Augustine of Hippo](https://en.wikipedia.org/wiki/Augustine_of_Hippo))	https://en.wiktionary.org/wiki/modus_inveniendi
		ML_RHETORIC_MODUS-PROFERENDI	modus proferendi	From [Latin](https://en.wikipedia.org/wiki/Latin). expressing ideas found within the scriptures. ([Augustine of Hippo](https://en.wikipedia.org/wiki/Augustine_of_Hippo))	https://en.wiktionary.org/wiki/modus_proferendi
Q6909140		ML_RHETORIC_MORAL-REASONING	moral reasoning	Reasoning employed in rhetoric that determines a conclusion based on evidence. Used in issues of ethics, religion, economics, and politics.	https://en.wiktionary.org/wiki/moral_reasoning
Q3894383		ML_RHETORIC_MOVERE	Movere	To persuade; viewed by [Cicero](https://en.wikipedia.org/wiki/Cicero) as one of the three goals of rhetoric.	https://en.wiktionary.org/wiki/movere
		ML_RHETORIC_NECESSARY-CAUSE	necessary cause	Cause without which effect couldn't/wouldn't have occurred.	https://en.wiktionary.org/wiki/necessary_cause
Q54111		ML_RHETORIC_NEOCLASSICAL-ARCHITECTURE	Neoclassical architecture		
Q162145		ML_RHETORIC_NEOPLATONISM	Neoplatonism	School of thought emanating from the works of [Plato](https://en.wikipedia.org/wiki/Plato) and [Aristotle](https://en.wikipedia.org/wiki/Aristotle) in early B.C.E. Rome.	https://en.wiktionary.org/wiki/neoplatonism
Q26207914		ML_RHETORIC_NOEMA	noema	Speech that is deliberately subtle or obscure.	https://en.wiktionary.org/wiki/noema
Q825737		ML_RHETORIC_NON-SEQUITUR	non sequitur	A statement bearing no relationship to the preceding context.	https://en.wiktionary.org/wiki/non_sequitur
		ML_RHETORIC_OICTOS	oictos	To show pity or compassion.	https://en.wiktionary.org/wiki/oictos
Q104447468		ML_RHETORIC_OMINATION	Omination		
Q170239		ML_RHETORIC_ONOMATOPOEIA	onomatopoeia	Words that imitate the sounds, objects, or actions they refer to. (ex. "buzz", "hullabaloo," "bling")	https://en.wiktionary.org/wiki/onomatopoeia
		ML_RHETORIC_OPTATIO	optatio	A wish exclaimed.	https://en.wiktionary.org/wiki/optatio
Q169429		ML_RHETORIC_OXYMORON	oxymoron	A condensed paradox.	https://en.wiktionary.org/wiki/oxymoron
Q2449062		ML_RHETORIC_PARADEIGMA	paradeigma	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). Argument created by a list of examples that leads to a probable generalized idea.	https://en.wiktionary.org/wiki/paradeigma
Q483372		ML_RHETORIC_PARADOX	paradox	A self-contradictory statement, which can only be true if it is false, and vice versa.	https://en.wiktionary.org/wiki/paradox
Q14511256		ML_RHETORIC_PARALIPSIS	paralipsis	When a rhetor refuses to continue with their current discussion, or passes over the rest of the conversation, or admits that they do not know what else to say. For example, (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'Your boyhood, indeed, which you dedicated to intemperance of all kinds, I would discuss, if I thought this the right time. But at the present I advisedly leave that aside. This too I pass by, that the tribunes have reported you as irregular in military service.'"	https://en.wiktionary.org/wiki/paralipsis
Q10282159		ML_RHETORIC_PARALLEL-SYNTAX	parallel syntax	repetition of similar sentence structures.	https://en.wiktionary.org/wiki/parallel_syntax
		ML_RHETORIC_PARTICULAR-AUDIENCE	particular audience	The actual audience the orator addresses. ([Chaïm Perelman](https://en.wikipedia.org/wiki/Cha%C3%AFm_Perelman) and [Lucie Olbrechts-Tyteca](https://en.wikipedia.org/wiki/Lucie_Olbrechts-Tyteca))	https://en.wiktionary.org/wiki/particular_audience
Q633885		ML_RHETORIC_PATHOS	pathos	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). The emotional appeal to an audience in an argument. One of [Aristotle](https://en.wikipedia.org/wiki/Aristotle)'s three proofs.	https://en.wiktionary.org/wiki/pathos
Q3412014		ML_RHETORIC_PERORATION	peroration		
Q207174		ML_RHETORIC_PERSONIFICATION	personification	A figure of speech that gives human characteristics or inanimate objects, or represents an absent person as being present. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'But if this invincible city should now give utterance to her voice, would she not speak as follows?'"	https://en.wiktionary.org/wiki/personification
Q697279		ML_RHETORIC_PETITION	petition		
Q3493035		ML_RHETORIC_PHALLOGOCENTRISM	phallogocentrism	Examines the relationship between logos (reason) and the phallus (representative of male genitalia). Just as the phallus is implicitly and sometime explicitly assumed to be the only significant sexual organ, the masculine is the accepted as the central point of reference of validity and authority for a society.	https://en.wiktionary.org/wiki/phallogocentrism
Q15814210		ML_RHETORIC_PHRONESIS	phronesis	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). practical wisdom; common sense.	https://en.wiktionary.org/wiki/phronesis
Q15761466		ML_RHETORIC_PHYSIS	physis	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). the strong will rule over the weak.	https://en.wiktionary.org/wiki/physis
Q5994		ML_RHETORIC_PIANO	piano		
Q107185154		ML_RHETORIC_PISTIS	pistis	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). belief.	https://en.wiktionary.org/wiki/pistis
Q188741		ML_RHETORIC_PLEONASM	pleonasm	The use of more words than necessary to express an idea.	https://en.wiktionary.org/wiki/pleonasm
		ML_RHETORIC_POETRIAE,-ARS	poetriae, ars		
Q384593		ML_RHETORIC_POLICE-OFFICER	police officer		
Q270141		ML_RHETORIC_POLYMATH	polymath		
Q179465		ML_RHETORIC_POLYPHONY	polyphony		
Q680469		ML_RHETORIC_POLYPTOTON	polyptoton	The repetition of a word or root in different cases or [inflections](https://en.wiktionary.org/wiki/inflection) within the same sentence.	https://en.wiktionary.org/wiki/polyptoton
Q426492		ML_RHETORIC_POLYSYNDETON	polysyndeton	The repeated use of conjunctions within a sentence, particularly where they do not necessarily have to be used.	https://en.wiktionary.org/wiki/polysyndeton
		ML_RHETORIC_PORTRAYL	portrayl	Describing a person clearly enough for recognition. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'I mean him, men of the jury, the ruddy, short, bent man, with white and rather curly hair, blue-grey eyes, and a huge scar on his chin, if perhaps you can recall him to memory.'"	https://en.wiktionary.org/wiki/portrayl
Q131015		ML_RHETORIC_POSITIVISM	positivism	Term created by [Auguste Comte](https://en.wikipedia.org/wiki/Auguste_Comte) that posits that science, math, or logic can prove any reasonable claim.	https://en.wiktionary.org/wiki/positivism
Q126692		ML_RHETORIC_PRAGMATISM	pragmatism	Field of thought positing that knowledge was fluid and that traditionally "fixed" entities (like time) were largely contextual; believed that a free society with free individuals was a viable standard for living.	https://en.wiktionary.org/wiki/pragmatism
Q3402394		ML_RHETORIC_PRESENCE	presence	Choosing to emphasize certain facts and ideas instead of others, leading the audience along that path. ([Chaïm Perelman](https://en.wikipedia.org/wiki/Cha%C3%AFm_Perelman) and [Lucie Olbrechts-Tyteca](https://en.wikipedia.org/wiki/Lucie_Olbrechts-Tyteca))	https://en.wiktionary.org/wiki/presence
Q200726		ML_RHETORIC_PROBABILITY-DISTRIBUTION	probability distribution		
		ML_RHETORIC_PRONUNTIATO	pronuntiato	From [Latin](https://en.wikipedia.org/wiki/Latin). The deliverary of an oration or an argument in a manner befitting the subject matter and style, while maintaining control of voice and body.	https://en.wiktionary.org/wiki/pronuntiato
Q108163		ML_RHETORIC_PROPOSITION	proposition		
Q2113832		ML_RHETORIC_PROTREPTICUS	protrepticus		
Q3924778		ML_RHETORIC_PRUDENCE	prudence	Judging practically.	https://en.wiktionary.org/wiki/prudence
Q21656365		ML_RHETORIC_PSOGOS	psogos	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). Blame.	https://en.wiktionary.org/wiki/psogos
		ML_RHETORIC_PSYCHAGOGOS	psychagogos	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). A poet.	https://en.wiktionary.org/wiki/psychagogos
Q10355327		ML_RHETORIC_PSYCHE	Psyche	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). The mind or soul.	https://en.wiktionary.org/wiki/psyche
Q17945		ML_RHETORIC_PUBLIC-SPHERE	public sphere	Place where individuals can engage in discussion without the political or state interests interfering.	https://en.wiktionary.org/wiki/public_sphere
Q263668		ML_RHETORIC_PUN	pun		
Q21136445		ML_RHETORIC_PURPOSE	purpose	What one is trying to do with their use of language.	https://en.wiktionary.org/wiki/purpose
Q273822		ML_RHETORIC_QUADRIVIUM	quadrivium	The major subjects taught in medieval times: geometry, arithmetic, atronomy, and music.	https://en.wiktionary.org/wiki/quadrivium
Q135672152		ML_RHETORIC_QUAESTIONES	quaestiones	Debatable points around which disputes are centered.	https://en.wiktionary.org/wiki/quaestiones
		ML_RHETORIC_REASONING-BY-CONTRARIES	reasoning by contraries	Where the first statement of two opposite statements directly proves the second. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'Or how should you expect a person whose arrogance has been insufferable in private life, to be agreeable and not forget himself when in power...?'"	https://en.wiktionary.org/wiki/reasoning_by_contraries
Q18182606		ML_RHETORIC_RES	Res	From [Latin](https://en.wikipedia.org/wiki/Latin). An argument's subtance.	https://en.wiktionary.org/wiki/res
Q64825398		ML_RHETORIC_RETIRED	retired		
Q136388991		ML_RHETORIC_RHETORES-SELECTI	Rhetores selecti		
		ML_RHETORIC_RHETORICAL-DISCOURSE	rhetorical discourse	Discourse created within the boundary of the principles of rhetoric.	https://en.wiktionary.org/wiki/rhetorical_discourse
		ML_RHETORIC_RHETORICAL-OPPOSITION	rhetorical opposition	[Protagoras](https://en.wikipedia.org/wiki/Protagoras)'s idea that there are two sides to everything.	https://en.wiktionary.org/wiki/rhetorical_opposition
Q7320449		ML_RHETORIC_RHETORICAL-SITUATION	rhetorical situation	A term made popular by [Lloyd Bitzer](https://en.wikipedia.org/wiki/Lloyd_Bitzer); describes the scenario that contains a speech act, including the considerations (purpose, audience, author/speaker, constraints to name a few) that play a role in how the act is produced and perceived by its audience. The counterargument regarding Bitzer's situation-rhetoric relationship was made by [Richard E. Vatz](https://en.wikipedia.org/wiki/Richard_E._Vatz) in "The Myth of the Rhetorical Situation." He argued for a salience-meaning (or now, agenda-framing-spin) model of persuasion, which emphasized rhetoric as a creative act with increased agent or persuader responsibility for the situation their rhetoric creates. He maintained this added to the importance of rhetorical study.	https://en.wiktionary.org/wiki/rhetorical_situation
Q361809		ML_RHETORIC_RHETORICIAN	rhetorician		
Q516766		ML_RHETORIC_SALUTATION	salutation		
Q39645		ML_RHETORIC_SEMANTICS	semantics	Philosophical study of language that deals with its connection to perceptions of reality.	https://en.wiktionary.org/wiki/semantics
Q60195		ML_RHETORIC_SEMIOTICS	semiotics	Branch of semantics concerning language and communication as a system of symbols.	https://en.wiktionary.org/wiki/semiotics
Q37140445		ML_RHETORIC_SENATUS	Senatus	[Latin](https://en.wikipedia.org/wiki/Latin) for "senate". The group of elders who governed Rome.	https://en.wiktionary.org/wiki/senatus
Q110727088		ML_RHETORIC_SHUI	Shui	Formal persuasion in ancient China.	https://en.wiktionary.org/wiki/shui
Q199714		ML_RHETORIC_SIMILE	simile	A figure of speech that compares unlike things, implying a resemblance between them. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'He entered the combat in body like the strongest bull, in impetuosity like the fiercest lion.'"	https://en.wiktionary.org/wiki/simile
Q1395219		ML_RHETORIC_SKEPTICISM	skepticism	Type of thought that questions whether universal truth exists and is attainable by humans.	https://en.wiktionary.org/wiki/skepticism
Q1545853		ML_RHETORIC_SOLECISM	solecism		
Q3750514		ML_RHETORIC_SOPHIST	sophist		
		ML_RHETORIC_SORAISMUS	soraismus	The ignorant or affected mingling of languages.	https://en.wiktionary.org/wiki/soraismus
Q545839		ML_RHETORIC_SPREZZATURA	sprezzatura	The ability to appear that there is seemingly little effort used to attain success. The art of being able to show that one is able to deceive. ([Baldessare Castiglione](https://en.wikipedia.org/wiki/Baldessare_Castiglione))	https://en.wiktionary.org/wiki/Sprezzatura
		ML_RHETORIC_STASIS-SYSTEM	stasis system	System of finding arguments by means of looking at ideas that are contradictory.	https://en.wiktionary.org/wiki/stasis_system
Q322265		ML_RHETORIC_STATUS-QUO	status quo	From [Latin](https://en.wikipedia.org/wiki/Latin). The generally accepted existing condition or state of affairs.	https://en.wiktionary.org/wiki/status_quo
Q6671777		ML_RHETORIC_STRUCTURE	structure		
		ML_RHETORIC_STUDIA-HUMANITAS	studia humanitas	From [Latin](https://en.wikipedia.org/wiki/Latin). Humanistic studies deemed indispensable in Renaissance-era education; rhetoric, poetics, ethics, politics.	https://en.wiktionary.org/wiki/studia_humanitas
Q1269323		ML_RHETORIC_SYLLEPSIS	syllepsis	A word modifying others in appropriate, though often incongruous ways. This is a similar concept to [zeugma](https://en.wiktionary.org/wiki/zeugma).	https://en.wiktionary.org/wiki/syllepsis
Q107342		ML_RHETORIC_SYLLOGISM	syllogism	A type of [valid](https://en.wiktionary.org/wiki/valid) argument that states if the first two claims are true, then the conclusion is true. For example, "(claim 1) People are mortal; (claim 2) Bob is a person. Therefore, (claim 3) Bob is mortal." Started by [Aristotle](https://en.wiktionary.org/wiki/Aristotle).	https://en.wiktionary.org/wiki/syllogism
		ML_RHETORIC_SYLLOGISTIC-LOGIC	syllogistic logic	See scientific reasoning.	https://en.wiktionary.org/wiki/syllogistic_logic
Q80071		ML_RHETORIC_SYMBOL	symbol	A visual or metaphorical representation of an idea or concept.	https://en.wiktionary.org/wiki/symbol
		ML_RHETORIC_SYMBOLIC-INDUCEMENT	symbolic inducement	Term coined by [Kenneth Burke](https://en.wikipedia.org/wiki/Kenneth_Burke) to refer to rhetoric.	https://en.wiktionary.org/wiki/symbolic_inducement
		ML_RHETORIC_SYMPHERON	sympheron	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). Path that is to one's advantage.	https://en.wiktionary.org/wiki/sympheron
Q3961434		ML_RHETORIC_SYNCHYSIS	synchysis	Word order confusion within a sentence.	https://en.wiktionary.org/wiki/synchysis
Q180007		ML_RHETORIC_SYNCOPE	syncope	The omission of letters from the middle of a word, usually replaced by an [apostrophe](https://en.wiktionary.org/wiki/apostrophe).	https://en.wiktionary.org/wiki/syncope
Q10687425		ML_RHETORIC_SYNECDOCHE	synecdoche	A rhetorical device were one part of an object is used to represent the whole.	https://en.wiktionary.org/wiki/synecdoche
		ML_RHETORIC_TAPINOSIS	tapinosis	Language or an [epithet](https://en.wiktionary.org/wiki/epithet) that is debasing. This term is synonymous with [meiosis](https://en.wiktionary.org/wiki/meiosis).	https://en.wiktionary.org/wiki/tapinosis
Q37477789		ML_RHETORIC_TASTE	taste	A learned admiration for things of beauty.	https://en.wiktionary.org/wiki/taste
Q209555		ML_RHETORIC_TAUTOLOGY	tautology	Redundant use of words, a [pleonasm](https://en.wiktionary.org/wiki/pleonasm), an unnecessary and tedious repetition.	https://en.wiktionary.org/wiki/tautology
Q82650		ML_RHETORIC_TAXI	taxi		
Q1054		ML_RHETORIC_TECHNETIUM	technetium		
Q1266946		ML_RHETORIC_THESIS	thesis	The major claim or premise made in an argument to be proved or dis-proved.	https://en.wiktionary.org/wiki/thesis
		ML_RHETORIC_THESMOS	thesmos	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). The law that comes from the authority of kings.	https://en.wiktionary.org/wiki/thesmos
Q1203324		ML_RHETORIC_TONE	tone	The author's voice in an essay through use of figurative language or a style of enunciation in writing (also known as a [diction](https://en.wiktionary.org/wiki/diction)). The way the author expresses themself out loud or through a character.	https://en.wiktionary.org/wiki/tone
		ML_RHETORIC_TOPICAL-SYSTEMS	topical systems	Methods for finding arguments.	https://en.wiktionary.org/wiki/topical_systems
Q12522118		ML_RHETORIC_TOPOS	topos	A line or specific style of argument.	https://en.wiktionary.org/wiki/Topos
Q17087170		ML_RHETORIC_TOPOTHESIA	topothesia	The description of an imaginary or non-existent place.	https://en.wiktionary.org/wiki/topothesia
Q97168137		ML_RHETORIC_TOULMIN-MODEL-OF-ARGUMENT	Toulmin model of argument		
Q3537603		ML_RHETORIC_TRANSGRESSION	transgression	Reading a text and looking for the deeper meanings instead of the obvious ones.	https://en.wiktionary.org/wiki/transgression
		ML_RHETORIC_TRANSLATIVE-ISSUE	translative issue	Dealing with procedure of an ensuing case.	https://en.wiktionary.org/wiki/translative_issue
Q7590		ML_RHETORIC_TRANSPORT	transport		
Q205186		ML_RHETORIC_TRIVIUM	trivium	From [Latin](https://en.wikipedia.org/wiki/Latin). Grammar, rhetoric, and logic taught in schools during the medieval period.	https://en.wiktionary.org/wiki/trivium
Q1554097		ML_RHETORIC_TROPE	trope		
		ML_RHETORIC_UNIVERSAL-AUDIENCE	universal audience	An audience consisting of all humankind (most specifically of adult age and normal mental capacity).	https://en.wiktionary.org/wiki/universal_audience
Q258403		ML_RHETORIC_UTTERANCE	utterance	Statement that could contain meaning about one's own person.	https://en.wiktionary.org/wiki/utterance
Q545349		ML_RHETORIC_VALIDITY	validity	Apprehension over the structure of an argument.	https://en.wiktionary.org/wiki/validity
		ML_RHETORIC_VALIDITY-CLAIM	validity claim	Claiming to have made a correct statement.	https://en.wiktionary.org/wiki/validity_claim
Q7920926		ML_RHETORIC_VERBA	Verba	From [Latin](https://en.wikipedia.org/wiki/Latin). The part of an argument that advances the subject matter.	https://en.wiktionary.org/wiki/verba
Q3331189		ML_RHETORIC_VERSION,-EDITION-OR-TRANSLATION	version, edition or translation		
		ML_RHETORIC_VIR-BONUS-BENI-DICENDI	vir bonus beni dicendi	From [Latin](https://en.wikipedia.org/wiki/Latin). The good man speaking well.	https://en.wiktionary.org/wiki/vir_bonus_beni_dicendi
Q2528506		ML_RHETORIC_VITA-ACTIVA	vita activa	A life lived in active involvement in the political arena.	https://en.wiktionary.org/wiki/vita_activa
Q1631685		ML_RHETORIC_WARRANT	Warrant	term used by [Stephen Toulmin](https://en.wikipedia.org/wiki/Stephen_Toulmin) to establish a link between data and a claim.	https://en.wiktionary.org/wiki/warrant
Q196984		ML_RHETORIC_ZEUGMA	zeugma	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek) [_ζεῦγμα_](https://en.wiktionary.org/wiki/%CE%B6%CE%B5%E1%BF%A6%CE%B3%CE%BC%CE%B1#Ancient_Greek) (zeûgma, “[yoking](https://en.wiktionary.org/wiki/yoke)”). A figure of speech in which one word applies to two others in different senses of that word, and in some cases only logically applies to one of the other two words. This is a similar concept to [syllepsis](https://en.wiktionary.org/wiki/syllepsis).	https://en.wiktionary.org/wiki/zeugma
Q87523478		ML_RHETORIC_⁝	tricolon	The pattern of three phrases in parallel, found commonly in Western writing after [Cicero](https://en.wikipedia.org/wiki/Cicero). For example, the kitten had white fur, blue eyes, and a pink tongue.	https://en.wiktionary.org/wiki/tricolon
		ML_RHETORIC_ALLOISIS	alloisis	The breaking down of a subject into its alternatives.	https://en.wiktionary.org/wiki/alloisis
		ML_RHETORIC_AMPLIFICATIO	amplificatio	An all-purpose term for all the ways an argument can be expanded and enhanced.	https://en.wiktionary.org/wiki/amplificatio
		ML_RHETORIC_AMPLIFICATION	amplification	The act and the means of extending thoughts or statements to increase rhetorical effect, to add importance, or to make the most of a thought or circumstance.	https://en.wiktionary.org/wiki/amplification
		ML_RHETORIC_APHAERESIS	aphaeresis	The omission of a syllable from the beginning of a word.	https://en.wiktionary.org/wiki/aphaeresis
		ML_RHETORIC_APOPHASIS-APOPHESIS	apophasis/ apophesis	Pretending to deny something as a means of implicitly affirming it. Mentioning something by saying that you won't mention it.	https://en.wiktionary.org/wiki/apophasis
		ML_RHETORIC_APPEALS	appeals	Rhetorical devices used to enhance the plausibility of one's argument; [Aristotle](https://en.wikipedia.org/wiki/Aristotle)'s appeals included [ethos](https://en.wiktionary.org/wiki/ethos), [logos](https://en.wiktionary.org/wiki/logos), and [pathos](https://en.wiktionary.org/wiki/pathos).	https://en.wiktionary.org/wiki/appeals
		ML_RHETORIC_ARGUMENTUM-AD-HOMINEM	argumentum ad hominem	Using what you know about your opponent's character as a basis for your argument.	https://en.wiktionary.org/wiki/argumentum_ad_hominem
		ML_RHETORIC_ARRANGEMENT	arrangement	See [dispositio](https://en.wiktionary.org/wiki/dispositio).	https://en.wiktionary.org/wiki/arrangement
		ML_RHETORIC_ARS-DICTAMINIS	ars dictaminis	The art of writing letters, introduced and taught during the Medieval rhetorical era.	https://en.wiktionary.org/wiki/ars_dictaminis
		ML_RHETORIC_ARS-POETRIA	ars poetria	Medieval teaching of grammar and style through analysis of poetry.	https://en.wiktionary.org/wiki/ars_poetria
		ML_RHETORIC_ARTISTIC-PROOFS	artistic proofs	Rhetorically-produced methods for persuasion. For [Aristotle](https://en.wikipedia.org/wiki/Aristotle), three possibilities would be [ethos](https://en.wiktionary.org/wiki/ethos), [pathos](https://en.wiktionary.org/wiki/pathos), and [logos](https://en.wiktionary.org/wiki/logos).	https://en.wiktionary.org/wiki/artistic_proofs
		ML_RHETORIC_BACKING	backing	Supporting an argument's merit.	https://en.wiktionary.org/wiki/backing
		ML_RHETORIC_BARBARISMUS	barbarismus	Mispronunciation or unnatural word-usage.	https://en.wiktionary.org/wiki/barbarismus
		ML_RHETORIC_BASES	bases	The issues at question in a judicial case.	https://en.wiktionary.org/wiki/bases
		ML_RHETORIC_BATHOS	bathos	An emotional appeal that inadvertently evokes laughter or ridicule.	https://en.wiktionary.org/wiki/bathos
		ML_RHETORIC_BELLES-LETTRES	belles lettres	Written works considered quality because they are pleasing to the senses.	https://en.wiktionary.org/wiki/belles_lettres
		ML_RHETORIC_BELLETRISTICMOVEMENT	belletristicmovement	Movement of rhetoric in the late 18th and early 19th centuries emphasizing stylistic considerations of rhetoric. It also expanded rhetoric into a study of literature and literary criticism and writing.	https://en.wiktionary.org/wiki/belletristic, https://en.wiktionary.org/wiki/movement
		ML_RHETORIC_BRACHYLOGIA	brachylogia	Brevity of diction.	https://en.wiktionary.org/wiki/brachylogia
		ML_RHETORIC_CLAIM	claim	A primary point being made to support an argument. Or, the resulting conclusion to an argument. ([Stephen Toulmin](https://en.wikipedia.org/wiki/Stephen_Toulmin))	https://en.wiktionary.org/wiki/claim
		ML_RHETORIC_CLASSICISM	classicism	A revival in the interest of classical antiquity languages and texts.	https://en.wiktionary.org/wiki/classicism
		ML_RHETORIC_COMMON-TOPICS	common topics	Arguments and approaches useful in rhetorical settings; _koinoi topoi._	https://en.wiktionary.org/wiki/common_topics
		ML_RHETORIC_CONCLUSIO	conclusio	From [Latin](https://en.wikipedia.org/wiki/Latin). A letter's conclusion.	https://en.wiktionary.org/wiki/conclusio
		ML_RHETORIC_CONFIRMATIO	confirmatio	From [Latin](https://en.wikipedia.org/wiki/Latin). The section of a judicial speech (in Roman rhetorical theory) that offers evidence supporting the claims given during the statement of facts.	https://en.wiktionary.org/wiki/confirmatio
		ML_RHETORIC_CONFUTATIO	confutatio	From [Latin](https://en.wikipedia.org/wiki/Latin). Counterargument in Roman rhetorical theory.	https://en.wiktionary.org/wiki/confutatio
		ML_RHETORIC_CONVERSIO	conversio	From [Latin](https://en.wikipedia.org/wiki/Latin). Varying sentence structure to discover its most agreeable form.	https://en.wiktionary.org/wiki/conversio
		ML_RHETORIC_CONVERSATION-MODEL	conversation model	The model, in critique of traditional rhetoric by [Sally Gearhart](https://en.wikipedia.org/wiki/Sally_Gearhart), that maintains the goal of rhetoric is to persuade others to accept your own personal view as correct.	https://en.wiktionary.org/wiki/conversation_model
		ML_RHETORIC_COOKERY	cookery	[Plato](https://en.wikipedia.org/wiki/Plato) believed rhetoric was to truth as cookery was to medicine. Cookery disguises itself as medicine and appears to be more pleasing, when in actuality it has no real benefit.	https://en.wiktionary.org/wiki/cookery
		ML_RHETORIC_CRITICAL-THEORY	critical theory	Systematically analyzing any means of communication for hidden assumptions and connotations.	https://en.wiktionary.org/wiki/critical_theory
		ML_RHETORIC_DEDUCTION	deduction	Moving from an overall hypothesis to infer something specific about that hypothesis.	https://en.wiktionary.org/wiki/deduction
		ML_RHETORIC_DELIVERY	delivery	Fifth canon in [Cicero](https://en.wikipedia.org/wiki/Cicero)'s list of rhetorical canons; traditionally linked to oral rhetoric, refers to how a speech is given (including tone of voice and nonverbal gestures, among others).	https://en.wiktionary.org/wiki/delivery
		ML_RHETORIC_DICTAMEN	dictamen	The art of writing letters.	https://en.wiktionary.org/wiki/dictamen
		ML_RHETORIC_DISTRIBUTION	distribution	Dividing a whole subject into its various parts.	https://en.wiktionary.org/wiki/distribution
		ML_RHETORIC_DIVISIO	divisio	To divide into categories or classes.	https://en.wiktionary.org/wiki/divisio
		ML_RHETORIC_DRAMATISTIC	dramatistic	A way to look at the nature of language stressing on language as an action. For example, it uses expressions such as 'thou shalt' and 'thou shalt not." ([Kenneth Burke](https://en.wikipedia.org/wiki/Kenneth_Burke)).	https://en.wiktionary.org/wiki/dramatistic
		ML_RHETORIC_ENUMERATIO	enumeratio	Making a point more forcibly by listing detailed causes or effects; to enumerate: count off or list one by one.	https://en.wiktionary.org/wiki/enumeratio
		ML_RHETORIC_ETHOS	ethos	A rhetorical appeal to an audience based on the speaker/writer's credibility.	https://en.wiktionary.org/wiki/ethos
		ML_RHETORIC_FABLE	fable	A short allegorical story.	https://en.wiktionary.org/wiki/fable
		ML_RHETORIC_FACILITAS	facilitas	The improvising of effective oral or written language to suit any situation.	https://en.wiktionary.org/wiki/facilitas
		ML_RHETORIC_FICTIO	fictio	The attribution of rational traits to non-rational creatures.	https://en.wiktionary.org/wiki/fictio
		ML_RHETORIC_FIELD-DEPENDENT	field-dependent	Standards for assessing arguments that are specific to a certain field. ([Stephen Toulmin](https://en.wikipedia.org/wiki/Stephen_Toulmin))	https://en.wiktionary.org/wiki/field-dependent
		ML_RHETORIC_FORENSIC-ORATORY	forensic oratory	speaking in a courtroom.	https://en.wiktionary.org/wiki/forensic_oratory
		ML_RHETORIC_FORUM	forum	A way to complicate our notions of audience and to help writers consider important factors that affect planning and composing.	https://en.wiktionary.org/wiki/forum
		ML_RHETORIC_GENERA	genera	Plural of [genus](https://en.wiktionary.org/wiki/genus). Classification by race, kind, or possession of similarities; discriptive of different types of oratory.	https://en.wiktionary.org/wiki/genera
		ML_RHETORIC_HEURISTICS	heuristics	Determining or applying the proper methods for investigation.	https://en.wiktionary.org/wiki/heuristics
		ML_RHETORIC_HOMOIOTELEUTON	homoioteleuton	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek) [_ὁμοιοτέλευτον_](https://en.wiktionary.org/wiki/%E1%BD%81%CE%BC%CE%BF%CE%B9%CE%BF%CF%84%CE%AD%CE%BB%CE%B5%CF%85%CF%84%CE%BF%CF%82#Ancient_Greek) (homoiotéleuton). A figure of speech where adjacent or parallel words have similar endings.	https://en.wiktionary.org/wiki/homoioteleuton
		ML_RHETORIC_HORISMUS	horismus	A brief and often antithetical definition.	https://en.wiktionary.org/wiki/horismus
		ML_RHETORIC_HYPSOS	hypsos	Great or worthy writing, sometimes called sublime. Longinus's theme in [_On the Sublime_](https://en.wikipedia.org/wiki/On_the_Sublime).	https://en.wiktionary.org/wiki/hypsos
		ML_RHETORIC_IGNORATIO-ELENCHI	ignoratio elenchi	A conclusion that is irrelevant.	https://en.wiktionary.org/wiki/ignoratio_elenchi
		ML_RHETORIC_IMITATIO	imitatio	From [Latin](https://en.wikipedia.org/wiki/Latin). Imitation.	https://en.wiktionary.org/wiki/imitatio
		ML_RHETORIC_INARTISTIC-PROOFS	inartistic proofs	Discovered information stemming from the raw data of experience.	https://en.wiktionary.org/wiki/inartistic_proofs
